name,price,url
Nike Air Force 1 '07,€119.99,https://www.nike.com/hu/en/t/air-force-1-07-shoes-E5NnNyBr/CW2288-111
Nike Air Max Plus,€189.99,https://www.nike.com/hu/en/t/air-max-plus-shoes-dT9k7p/604133-050
Nike Air Force 1 Luxe,€111.99,https://www.nike.com/hu/en/t/air-force-1-luxe-shoes-ZyIrJFlT/DD9605-100
Nike Air Force 1 '07 LV8,€129.99,https://www.nike.com/hu/en/t/air-force-1-07-lv8-shoes-lucbWDNi/IM6002-084
Nike P-6000,€119.99,https://www.nike.com/hu/en/t/p-6000-shoes-fMIsqq3L/IO1904-104
Nike Air Max 95 Big Bubble,€189.99,https://www.nike.com/hu/en/t/air-max-95-big-bubble-shoes-Z9VN9viQ/IH1228-001
Nike Vomero Premium,€229.99,https://www.nike.com/hu/en/t/vomero-road-running-shoes-j7uhJAlE/IQ4035-100
Nike Air Max Plus,€199.99,https://www.nike.com/hu/en/t/air-max-plus-shoes-wRkOBMX4/IM5983-070
Nike Juniper Trail 3,€67.49,https://www.nike.com/hu/en/t/juniper-trail-3-trail-running-shoes-cv8bQU6U/FQ0904-600
"Book 1 ""Scorpion""",€149.99,https://www.nike.com/hu/en/t/book-1-scorpion-basketball-shoes-WLiRfdmI/IM7615-001
Nike Dunk Low Retro,€83.99,https://www.nike.com/hu/en/t/dunk-low-retro-shoes-RmcsMK03/HF5441-105
Nike Dunk Low Retro,€59.99,https://www.nike.com/hu/en/t/dunk-low-retro-shoe-zhqKMf/DD1391-100
Nike Court Vision Mid,€89.99,https://www.nike.com/hu/en/t/court-vision-mid-winterized-shoes-EFmQTxTf/DR7882-700
Air Jordan 1 Low SE,€139.99,https://www.nike.com/hu/en/t/air-jordan-1-low-se-shoes-rhSOKGkR/HV4089-201
Nike Pegasus 41,€119.99,https://www.nike.com/hu/en/t/pegasus-41-road-running-shoes-Jdn3qq/IH4455-047
Air Force 1 GORE-TEX,€159.99,https://www.nike.com/hu/en/t/air-force-1-gore-tex-shoes-ILJmNOq4/HV5953-300
Nike V5 RNR,€84.99,https://www.nike.com/hu/en/t/v5-rnr-shoes-gf3bzPQ6/HJ5228-104
Giannis Immortality 4,€62.99,https://www.nike.com/hu/en/t/giannis-immortality-4-basketball-shoes-x5GjZ5/FQ3680-010
Nike Air Max Plus,€159.99,https://www.nike.com/hu/en/t/air-max-plus-shoes-ZAmZMX9P/IH4459-010
Nike MC Trainer 3,€59.99,https://www.nike.com/hu/en/t/mc-trainer-3-workout-shoes-0F20Pb/FQ1831-100
Nike Structure 26,€111.99,https://www.nike.com/hu/en/t/structure-26-road-running-shoes-iIkxJSTy/HJ1102-004
Nike Alphafly 3 'Eliud Kipchoge',€319.99,https://www.nike.com/hu/en/t/alphafly-3-eliud-kipchoge-road-racing-shoes-6yWjeRx4/HJ7041-600
Jordan City,€179.99,https://www.nike.com/hu/en/t/jordan-city-boots-Rl6uSZoa/HV4580-001
Nike P-6000,€109.99,https://www.nike.com/hu/en/t/p-6000-shoes-HXUSIpOj/FD9876-101
